Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206,25.146,3.128,0.0,top
C2,0.1uF,C_0603,24.511,5.668,0.0,top
C3,1uF,C_0805,24.638,17.272,90.0,top
C4,0.1uF,C_0603,22.606,17.098,90.0,top
C5,470pF,C_0603,24.511,8.208,0.0,top
C6,470pF,C_0603,20.701,8.208,180.0,top
J1,USB-C_Female,USB-C_Female_105450-0101,4.125,14.0,-90.0,top
J2,USB_OTG,USB_Micro-B_10118193,13.97,25.6,180.0,top
J3,CONN_02X03,Socket_Strip_Straight_2x03,13.98,4.52,0.0,top
R1,4.7k,C_0603,22.86,26.115,180.0,top
R2,4.7k,C_0603,22.86,24.21,180.0,top
R3,4.7k,C_0603,22.86,22.305,180.0,top
U1,FUSB302BMPX,MLP_14,22.606,12.018,90.0,top
